"HIOKI PW3360(Ver2.12)",S/N.161035999
"FOLDER",23072006
"WIRING",3P3W3M
"OPERATION",RMS
"FREQUENCY",50Hz
"THD",THD-F
"INTERVAL",30sec
"U RANGE",600V
"I RANGE",1A
"SENSOR",9694(5A)
"VT(PT)",200
"CT",600
"PULSE",001.000, ,
"ENERGY COST",0000.00,

2023-07-20 18:25:00,START
Date,Etime,Status,Freq_Avg[Hz],U1_Avg[V],Ufnd1_Avg[V],Udeg1_Avg[deg],U2_Avg[V],Ufnd2_Avg[V],Udeg2_Avg[deg],U3_Avg[V],Ufnd3_Avg[V],Udeg3_Avg[deg],I1_Avg[A],Ifnd1_Avg[A],Ideg1_Avg[deg],I2_Avg[A],Ifnd2_Avg[A],Ideg2_Avg[deg],I3_Avg[A],Ifnd3_Avg[A],Ideg3_Avg[deg],P1_Avg[W],P2_Avg[W],P3_Avg[W],P_Avg[W],S1_Avg[VA],S2_Avg[VA],S3_Avg[VA],S_Avg[VA],Q1_Avg[var],Q2_Avg[var],Q3_Avg[var],Q_Avg[var],PF1_Avg,PF2_Avg,PF3_Avg,PF_Avg,Freq_Max[Hz],U1_Max[V],Ufnd1_Max[V],Upeak1_Max[V],Udeg1_Max[deg],U2_Max[V],Ufnd2_Max[V],Upeak2_Max[V],Udeg2_Max[deg],U3_Max[V],Ufnd3_Max[V],Upeak3_Max[V],Udeg3_Max[deg],I1_Max[A],Ifnd1_Max[A],Ipeak1_Max[A],Ideg1_Max[deg],I2_Max[A],Ifnd2_Max[A],Ipeak2_Max[A],Ideg2_Max[deg],I3_Max[A],Ifnd3_Max[A],Ipeak3_Max[A],Ideg3_Max[deg],P1_Max[W],P2_Max[W],P3_Max[W],P_Max[W],S1_Max[VA],S2_Max[VA],S3_Max[VA],S_Max[VA],Q1_Max[var],Q2_Max[var],Q3_Max[var],Q_Max[var],PF1_Max,PF2_Max,PF3_Max,PF_Max,Freq_Min[Hz],U1_Min[V],Ufnd1_Min[V],Upeak1_Min[V],Udeg1_Min[deg],U2_Min[V],Ufnd2_Min[V],Upeak2_Min[V],Udeg2_Min[deg],U3_Min[V],Ufnd3_Min[V],Upeak3_Min[V],Udeg3_Min[deg],I1_Min[A],Ifnd1_Min[A],Ipeak1_Min[A],Ideg1_Min[deg],I2_Min[A],Ifnd2_Min[A],Ipeak2_Min[A],Ideg2_Min[deg],I3_Min[A],Ifnd3_Min[A],Ipeak3_Min[A],Ideg3_Min[deg],P1_Min[W],P2_Min[W],P3_Min[W],P_Min[W],S1_Min[VA],S2_Min[VA],S3_Min[VA],S_Min[VA],Q1_Min[var],Q2_Min[var],Q3_Min[var],Q_Min[var],PF1_Min,PF2_Min,PF3_Min,PF_Min,WP+[Wh],WP-[Wh],WQLAG[varh],WQLEAD[varh],Ecost,WP+dem[Wh],WP-dem[Wh],WQLAGdem[varh],WQLEADdem[varh],Pdem+[W],Pdem-[W],QdemLAG[var],QdemLEAD[var],PFdem,Pulse
2023-07-20 18:25:00
2023-07-20 18:25:30,0000:00:30,00000000,50.048E+00,23.16E+03,13.27E+03,0.00E+00,23.00E+03,13.64E+03,118.68E+00,22.98E+03,12.99E+03,-122.00E+00,213.66E+00,213.48E+00,56.22E+00,219.38E+00,219.19E+00,115.60E+00,213.41E+00,213.25E+00,174.90E+00,1.575E+06,2.986E+06,1.253E+06,5.81E+06,2.837E+06,2.994E+06,2.774E+06,8.60E+06,-2.359E+06,0.223E+06,2.474E+06,6.34E+06,-0.5552E+00,0.9972E+00,0.4519E+00,0.6760E+00,50.061E+00,23.20E+03,13.30E+03,19.68E+03,0.00E+00,23.04E+03,13.67E+03,20.15E+03,118.73E+00,23.02E+03,13.01E+03,19.26E+03,-121.94E+00,221.04E+00,220.84E+00,326.95E+00,56.77E+00,227.34E+00,227.17E+00,336.91E+00,116.12E+00,219.58E+00,219.44E+00,321.57E+00,175.35E+00,1.646E+06,3.092E+06,1.297E+06,5.99E+06,2.935E+06,3.101E+06,2.853E+06,8.85E+06,-2.292E+06,0.268E+06,2.557E+06,6.54E+06,-0.5649E+00,0.9977E+00,0.4594E+00,0.6782E+00,50.041E+00,23.09E+03,13.23E+03,19.32E+03,0.00E+00,22.94E+03,13.60E+03,19.77E+03,118.63E+00,22.91E+03,12.96E+03,18.95E+03,-122.05E+00,206.72E+00,206.52E+00,303.38E+00,55.54E+00,212.58E+00,212.37E+00,312.65E+00,114.49E+00,206.62E+00,206.44E+00,301.54E+00,173.88E+00,1.507E+06,2.895E+06,1.208E+06,5.63E+06,2.747E+06,2.902E+06,2.686E+06,8.34E+06,-2.435E+06,0.200E+06,2.391E+06,6.15E+06,-0.5472E+00,0.9961E+00,0.4351E+00,0.6729E+00,0.048E+06,0.000E+06,0.053E+06,0.000E+06,0.00000E+00,0.048E+06,0.000E+06,0.053E+06,0.000E+06,5.81E+06,0.00E+06,6.34E+06,0.00E+06,0.6760E+00,0.000E+03
2023-07-20 18:26:00,0000:01:00,00000000,50.058E+00,23.17E+03,13.27E+03,0.00E+00,23.01E+03,13.65E+03,118.72E+00,22.98E+03,13.00E+03,-121.99E+00,215.96E+00,215.78E+00,56.09E+00,221.88E+00,221.70E+00,115.47E+00,215.82E+00,215.66E+00,174.74E+00,1.598E+06,3.021E+06,1.261E+06,5.88E+06,2.867E+06,3.029E+06,2.807E+06,8.70E+06,-2.381E+06,0.230E+06,2.508E+06,6.41E+06,-0.5572E+00,0.9971E+00,0.4492E+00,0.6757E+00,50.065E+00,23.21E+03,13.30E+03,19.74E+03,0.00E+00,23.05E+03,13.67E+03,20.16E+03,118.80E+00,23.02E+03,13.02E+03,19.34E+03,-121.91E+00,223.71E+00,223.55E+00,329.12E+00,56.70E+00,228.76E+00,228.56E+00,342.97E+00,116.16E+00,222.30E+00,222.17E+00,326.26E+00,175.44E+00,1.682E+06,3.109E+06,1.302E+06,6.04E+06,2.967E+06,3.119E+06,2.889E+06,8.94E+06,-2.307E+06,0.286E+06,2.597E+06,6.58E+06,-0.5708E+00,0.9977E+00,0.4608E+00,0.6786E+00,50.049E+00,23.12E+03,13.24E+03,19.31E+03,0.00E+00,22.96E+03,13.62E+03,19.72E+03,118.64E+00,22.94E+03,12.98E+03,18.95E+03,-122.07E+00,209.38E+00,209.21E+00,306.12E+00,55.15E+00,215.25E+00,215.08E+00,315.28E+00,114.35E+00,209.05E+00,208.90E+00,302.46E+00,173.76E+00,1.531E+06,2.933E+06,1.222E+06,5.71E+06,2.781E+06,2.941E+06,2.722E+06,8.46E+06,-2.453E+06,0.203E+06,2.428E+06,6.23E+06,-0.5484E+00,0.9958E+00,0.4327E+00,0.6726E+00,0.097E+06,0.000E+06,0.106E+06,0.000E+06,0.00000E+00,0.049E+06,0.000E+06,0.053E+06,0.000E+06,5.88E+06,0.00E+06,6.41E+06,0.00E+06,0.6757E+00,0.000E+03
2023-07-20 18:26:30,0000:01:30,00000000,50.061E+00,23.15E+03,13.26E+03,0.00E+00,22.99E+03,13.63E+03,118.74E+00,22.96E+03,12.99E+03,-121.97E+00,216.70E+00,216.51E+00,56.15E+00,222.67E+00,222.48E+00,115.47E+00,216.36E+00,216.19E+00,174.75E+00,1.599E+06,3.029E+06,1.263E+06,5.89E+06,2.874E+06,3.038E+06,2.812E+06,8.72E+06,-2.388E+06,0.231E+06,2.513E+06,6.43E+06,-0.5564E+00,0.9971E+00,0.4491E+00,0.6755E+00,50.065E+00,23.19E+03,13.28E+03,19.65E+03,0.00E+00,23.02E+03,13.65E+03,20.16E+03,118.81E+00,22.99E+03,13.01E+03,19.28E+03,-121.91E+00,222.45E+00,222.27E+00,327.06E+00,56.57E+00,229.23E+00,229.04E+00,337.82E+00,116.01E+00,222.14E+00,222.01E+00,326.84E+00,175.31E+00,1.667E+06,3.113E+06,1.284E+06,6.04E+06,2.946E+06,3.125E+06,2.885E+06,8.95E+06,-2.328E+06,0.266E+06,2.596E+06,6.61E+06,-0.5659E+00,0.9977E+00,0.4576E+00,0.6775E+00,50.056E+00,23.12E+03,13.24E+03,19.30E+03,0.00E+00,22.96E+03,13.62E+03,19.76E+03,118.68E+00,22.93E+03,12.98E+03,18.93E+03,-122.00E+00,210.26E+00,210.08E+00,308.98E+00,55.49E+00,216.85E+00,216.67E+00,318.71E+00,114.73E+00,210.43E+00,210.23E+00,307.50E+00,173.92E+00,1.541E+06,2.953E+06,1.232E+06,5.73E+06,2.791E+06,2.961E+06,2.737E+06,8.49E+06,-2.429E+06,0.207E+06,2.443E+06,6.26E+06,-0.5502E+00,0.9964E+00,0.4359E+00,0.6743E+00,0.147E+06,0.000E+06,0.160E+06,0.000E+06,0.00000E+00,0.049E+06,0.000E+06,0.054E+06,0.000E+06,5.89E+06,0.00E+06,6.43E+06,0.00E+06,0.6755E+00,0.000E+03
2023-07-20 18:27:00,0000:02:00,00000000,50.055E+00,23.15E+03,13.26E+03,0.00E+00,22.99E+03,13.63E+03,118.77E+00,22.97E+03,13.00E+03,-121.95E+00,215.55E+00,215.36E+00,56.04E+00,221.53E+00,221.34E+00,115.40E+00,215.35E+00,215.18E+00,174.66E+00,1.596E+06,3.012E+06,1.253E+06,5.86E+06,2.860E+06,3.021E+06,2.800E+06,8.68E+06,-2.374E+06,0.234E+06,2.505E+06,6.40E+06,-0.5579E+00,0.9970E+00,0.4473E+00,0.6753E+00,50.062E+00,23.18E+03,13.28E+03,19.74E+03,0.00E+00,23.02E+03,13.65E+03,20.07E+03,118.82E+00,23.00E+03,13.01E+03,19.25E+03,-121.92E+00,223.12E+00,222.95E+00,329.81E+00,56.45E+00,229.47E+00,229.32E+00,341.25E+00,115.81E+00,222.66E+00,222.45E+00,327.41E+00,175.04E+00,1.681E+06,3.113E+06,1.285E+06,6.05E+06,2.956E+06,3.125E+06,2.892E+06,8.96E+06,-2.295E+06,0.283E+06,2.609E+06,6.62E+06,-0.5716E+00,0.9974E+00,0.4532E+00,0.6762E+00,50.043E+00,23.11E+03,13.24E+03,19.30E+03,0.00E+00,22.95E+03,13.60E+03,19.72E+03,118.73E+00,22.94E+03,12.97E+03,18.93E+03,-121.98E+00,208.32E+00,208.13E+00,307.04E+00,55.08E+00,214.24E+00,214.06E+00,316.77E+00,114.45E+00,208.87E+00,208.69E+00,304.52E+00,173.66E+00,1.537E+06,2.914E+06,1.221E+06,5.68E+06,2.764E+06,2.922E+06,2.716E+06,8.41E+06,-2.445E+06,0.213E+06,2.423E+06,6.20E+06,-0.5519E+00,0.9958E+00,0.4316E+00,0.6738E+00,0.195E+06,0.000E+06,0.213E+06,0.000E+06,0.00000E+00,0.049E+06,0.000E+06,0.053E+06,0.000E+06,5.86E+06,0.00E+06,6.40E+06,0.00E+06,0.6753E+00,0.000E+03
2023-07-20 18:27:30,0000:02:30,00000000,50.031E+00,23.17E+03,13.27E+03,0.00E+00,23.01E+03,13.64E+03,118.77E+00,22.99E+03,13.01E+03,-121.93E+00,210.04E+00,209.84E+00,56.27E+00,215.95E+00,215.75E+00,115.72E+00,210.19E+00,210.01E+00,174.92E+00,1.547E+06,2.939E+06,1.234E+06,5.72E+06,2.789E+06,2.947E+06,2.736E+06,8.47E+06,-2.321E+06,0.219E+06,2.442E+06,6.25E+06,-0.5545E+00,0.9972E+00,0.4510E+00,0.6753E+00,50.046E+00,23.21E+03,13.30E+03,19.74E+03,0.00E+00,23.05E+03,13.66E+03,20.14E+03,118.83E+00,23.03E+03,13.04E+03,19.35E+03,-121.83E+00,213.97E+00,213.77E+00,319.40E+00,56.68E+00,220.02E+00,219.82E+00,330.27E+00,116.17E+00,214.00E+00,213.84E+00,315.39E+00,175.35E+00,1.587E+06,2.990E+06,1.250E+06,5.81E+06,2.839E+06,2.999E+06,2.785E+06,8.61E+06,-2.256E+06,0.236E+06,2.489E+06,6.35E+06,-0.5606E+00,0.9976E+00,0.4573E+00,0.6763E+00,50.021E+00,23.14E+03,13.25E+03,19.35E+03,0.00E+00,22.97E+03,13.61E+03,19.77E+03,118.72E+00,22.96E+03,12.99E+03,18.96E+03,-121.99E+00,203.45E+00,203.25E+00,300.29E+00,55.85E+00,209.27E+00,209.07E+00,309.10E+00,115.32E+00,204.06E+00,203.88E+00,298.68E+00,174.58E+00,1.494E+06,2.853E+06,1.207E+06,5.55E+06,2.705E+06,2.860E+06,2.660E+06,8.22E+06,-2.360E+06,0.202E+06,2.370E+06,6.06E+06,-0.5485E+00,0.9969E+00,0.4456E+00,0.6741E+00,0.243E+06,0.000E+06,0.265E+06,0.000E+06,0.00000E+00,0.048E+06,0.000E+06,0.052E+06,0.000E+06,5.72E+06,0.00E+06,6.25E+06,0.00E+06,0.6753E+00,0.000E+03
2023-07-20 18:28:00,0000:03:00,00000000,50.044E+00,23.23E+03,13.31E+03,0.00E+00,23.07E+03,13.66E+03,118.82E+00,23.04E+03,13.04E+03,-121.82E+00,208.28E+00,208.08E+00,56.56E+00,213.99E+00,213.79E+00,115.96E+00,208.20E+00,208.02E+00,175.21E+00,1.527E+06,2.917E+06,1.233E+06,5.68E+06,2.774E+06,2.925E+06,2.717E+06,8.41E+06,-2.316E+06,0.211E+06,2.421E+06,6.21E+06,-0.5504E+00,0.9974E+00,0.4538E+00,0.6748E+00,50.056E+00,23.26E+03,13.33E+03,19.70E+03,0.00E+00,23.10E+03,13.68E+03,20.17E+03,119.01E+00,23.07E+03,13.06E+03,19.27E+03,-121.67E+00,212.82E+00,212.61E+00,316.65E+00,56.88E+00,218.56E+00,218.36E+00,326.84E+00,116.27E+00,212.53E+00,212.36E+00,314.02E+00,175.45E+00,1.568E+06,2.973E+06,1.254E+06,5.79E+06,2.827E+06,2.982E+06,2.768E+06,8.57E+06,-2.257E+06,0.241E+06,2.472E+06,6.33E+06,-0.5614E+00,0.9977E+00,0.4584E+00,0.6760E+00,50.023E+00,23.18E+03,13.26E+03,19.37E+03,0.00E+00,23.01E+03,13.63E+03,19.79E+03,118.74E+00,22.99E+03,13.01E+03,18.99E+03,-121.97E+00,203.09E+00,202.91E+00,299.71E+00,55.79E+00,208.47E+00,208.30E+00,308.98E+00,115.13E+00,203.06E+00,202.83E+00,297.54E+00,174.47E+00,1.486E+06,2.844E+06,1.203E+06,5.54E+06,2.703E+06,2.851E+06,2.651E+06,8.20E+06,-2.356E+06,0.197E+06,2.360E+06,6.05E+06,-0.5456E+00,0.9966E+00,0.4426E+00,0.6737E+00,0.290E+06,0.000E+06,0.317E+06,0.000E+06,0.00000E+00,0.047E+06,0.000E+06,0.052E+06,0.000E+06,5.68E+06,0.00E+06,6.21E+06,0.00E+06,0.6748E+00,0.000E+03
2023-07-20 18:28:30,0000:03:30,00000000,50.058E+00,23.24E+03,13.32E+03,0.00E+00,23.08E+03,13.67E+03,118.74E+00,23.05E+03,13.04E+03,-121.86E+00,212.97E+00,212.78E+00,56.49E+00,218.79E+00,218.59E+00,115.78E+00,212.50E+00,212.33E+00,175.10E+00,1.565E+06,2.985E+06,1.255E+06,5.80E+06,2.838E+06,2.993E+06,2.772E+06,8.60E+06,-2.368E+06,0.218E+06,2.472E+06,6.35E+06,-0.5513E+00,0.9973E+00,0.4527E+00,0.6750E+00,50.064E+00,23.27E+03,13.34E+03,19.81E+03,0.00E+00,23.11E+03,13.69E+03,20.20E+03,118.78E+00,23.08E+03,13.05E+03,19.32E+03,-121.82E+00,219.28E+00,219.07E+00,323.17E+00,56.79E+00,224.85E+00,224.64E+00,336.11E+00,116.17E+00,218.16E+00,218.01E+00,320.77E+00,175.46E+00,1.642E+06,3.062E+06,1.272E+06,5.96E+06,2.919E+06,3.072E+06,2.843E+06,8.83E+06,-2.299E+06,0.258E+06,2.551E+06,6.52E+06,-0.5624E+00,0.9976E+00,0.4583E+00,0.6757E+00,50.054E+00,23.21E+03,13.30E+03,19.38E+03,0.00E+00,23.05E+03,13.66E+03,19.82E+03,118.72E+00,23.02E+03,13.02E+03,19.01E+03,-121.89E+00,206.05E+00,205.84E+00,303.15E+00,55.72E+00,212.12E+00,211.91E+00,315.39E+00,114.90E+00,206.15E+00,205.98E+00,300.06E+00,174.35E+00,1.503E+06,2.896E+06,1.221E+06,5.63E+06,2.747E+06,2.903E+06,2.691E+06,8.34E+06,-2.414E+06,0.201E+06,2.395E+06,6.15E+06,-0.5471E+00,0.9965E+00,0.4413E+00,0.6744E+00,0.339E+06,0.000E+06,0.370E+06,0.000E+06,0.00000E+00,0.048E+06,0.000E+06,0.053E+06,0.000E+06,5.80E+06,0.00E+06,6.35E+06,0.00E+06,0.6750E+00,0.000E+03
2023-07-20 18:29:00,0000:04:00,00000000,50.050E+00,23.20E+03,13.30E+03,0.00E+00,23.04E+03,13.65E+03,118.73E+00,23.02E+03,13.02E+03,-121.87E+00,215.08E+00,214.89E+00,56.27E+00,220.88E+00,220.68E+00,115.54E+00,214.50E+00,214.32E+00,174.88E+00,1.588E+06,3.008E+06,1.256E+06,5.85E+06,2.863E+06,3.017E+06,2.794E+06,8.67E+06,-2.382E+06,0.229E+06,2.496E+06,6.40E+06,-0.5545E+00,0.9971E+00,0.4494E+00,0.6749E+00,50.061E+00,23.22E+03,13.31E+03,19.77E+03,0.00E+00,23.07E+03,13.66E+03,20.12E+03,118.76E+00,23.04E+03,13.03E+03,19.29E+03,-121.83E+00,219.68E+00,219.48E+00,324.20E+00,56.51E+00,225.33E+00,225.10E+00,337.71E+00,115.91E+00,218.56E+00,218.37E+00,323.17E+00,175.14E+00,1.625E+06,3.069E+06,1.280E+06,5.97E+06,2.924E+06,3.078E+06,2.847E+06,8.84E+06,-2.321E+06,0.244E+06,2.544E+06,6.52E+06,-0.5590E+00,0.9974E+00,0.4535E+00,0.6756E+00,50.042E+00,23.18E+03,13.29E+03,19.37E+03,0.00E+00,23.02E+03,13.64E+03,19.80E+03,118.71E+00,23.00E+03,13.01E+03,18.99E+03,-121.90E+00,209.27E+00,209.06E+00,309.21E+00,55.97E+00,214.81E+00,214.59E+00,320.66E+00,115.16E+00,208.87E+00,208.69E+00,305.89E+00,174.65E+00,1.542E+06,2.928E+06,1.229E+06,5.70E+06,2.788E+06,2.937E+06,2.724E+06,8.44E+06,-2.431E+06,0.212E+06,2.431E+06,6.23E+06,-0.5511E+00,0.9967E+00,0.4462E+00,0.6741E+00,0.387E+06,0.000E+06,0.423E+06,0.000E+06,0.00000E+00,0.049E+06,0.000E+06,0.053E+06,0.000E+06,5.85E+06,0.00E+06,6.40E+06,0.00E+06,0.6749E+00,0.000E+03
2023-07-20 18:29:30,0000:04:30,00000000,50.060E+00,23.25E+03,13.33E+03,0.00E+00,23.09E+03,13.68E+03,118.73E+00,23.06E+03,13.05E+03,-121.84E+00,194.47E+00,194.25E+00,57.79E+00,199.08E+00,198.86E+00,117.03E+00,193.54E+00,193.35E+00,176.54E+00,1.380E+06,2.718E+06,1.199E+06,5.30E+06,2.593E+06,2.724E+06,2.526E+06,7.84E+06,-2.195E+06,0.179E+06,2.222E+06,1.56E+06,-0.5321E+00,0.9978E+00,0.4746E+00,0.6756E+00,50.068E+00,23.33E+03,13.38E+03,19.75E+03,0.00E+00,23.16E+03,13.72E+03,20.07E+03,118.76E+00,23.14E+03,13.09E+03,19.27E+03,-121.80E+00,219.70E+00,219.52E+00,325.23E+00,59.53E+00,225.31E+00,225.15E+00,336.56E+00,118.69E+00,218.94E+00,218.74E+00,321.80E+00,178.53E+00,1.633E+06,3.063E+06,1.273E+06,5.96E+06,2.919E+06,3.073E+06,2.848E+06,8.84E+06,-2.007E+06,0.248E+06,2.548E+06,6.52E+06,-0.5594E+00,0.9985E+00,0.5049E+00,0.6780E+00,50.054E+00,23.16E+03,13.27E+03,19.34E+03,0.00E+00,23.00E+03,13.62E+03,19.74E+03,118.69E+00,22.97E+03,13.00E+03,18.95E+03,-121.88E+00,174.07E+00,173.82E+00,259.43E+00,55.93E+00,178.21E+00,177.96E+00,266.18E+00,115.09E+00,172.97E+00,172.78E+00,257.03E+00,174.52E+00,1.178E+06,2.442E+06,1.125E+06,4.75E+06,2.328E+06,2.446E+06,2.264E+06,7.04E+06,-2.422E+06,0.140E+06,1.961E+06,-5.41E+06,-0.5061E+00,0.9967E+00,0.4436E+00,0.6738E+00,0.432E+06,0.000E+06,0.454E+06,-0.018E+06,0.00000E+00,0.044E+06,0.000E+06,0.031E+06,-0.018E+06,5.30E+06,0.00E+06,3.67E+06,-2.11E+06,0.8219E+00,0.000E+03
2023-07-20 18:30:00,0000:05:00,00000000,50.080E+00,23.17E+03,13.28E+03,0.00E+00,23.01E+03,13.63E+03,118.75E+00,22.98E+03,13.00E+03,-121.84E+00,240.18E+00,239.99E+00,55.82E+00,245.28E+00,245.10E+00,115.51E+00,240.36E+00,240.20E+00,174.92E+00,1.790E+06,3.336E+06,1.406E+06,6.53E+06,3.191E+06,3.345E+06,3.126E+06,9.66E+06,-2.641E+06,0.245E+06,2.792E+06,7.11E+06,-0.5611E+00,0.9973E+00,0.4497E+00,0.6763E+00,50.096E+00,23.30E+03,13.36E+03,19.58E+03,0.00E+00,23.14E+03,13.71E+03,20.01E+03,118.77E+00,23.11E+03,13.07E+03,19.20E+03,-121.82E+00,252.06E+00,251.89E+00,376.27E+00,58.83E+00,257.20E+00,257.01E+00,388.29E+00,118.12E+00,252.02E+00,251.88E+00,375.01E+00,177.81E+00,1.896E+06,3.492E+06,1.454E+06,6.84E+06,3.343E+06,3.502E+06,3.273E+06,10.11E+06,-2.100E+06,0.278E+06,2.932E+06,7.45E+06,-0.5691E+00,0.9984E+00,0.4937E+00,0.6771E+00,50.064E+00,23.13E+03,13.26E+03,19.17E+03,0.00E+00,22.96E+03,13.61E+03,19.66E+03,118.73E+00,22.94E+03,12.98E+03,18.85E+03,-121.88E+00,183.48E+00,183.21E+00,273.16E+00,55.26E+00,187.08E+00,186.81E+00,278.31E+00,114.96E+00,182.31E+00,182.12E+00,267.67E+00,174.34E+00,1.267E+06,2.561E+06,1.177E+06,5.01E+06,2.452E+06,2.565E+06,2.385E+06,7.40E+06,-2.753E+06,0.145E+06,2.074E+06,5.45E+06,-0.5166E+00,0.9968E+00,0.4406E+00,0.6754E+00,0.486E+06,0.000E+06,0.513E+06,-0.018E+06,0.00000E+00,0.054E+06,0.000E+06,0.059E+06,0.000E+06,6.53E+06,0.00E+06,7.11E+06,0.00E+06,0.6763E+00,0.000E+03
2023-07-20 18:30:30,0000:05:30,00000000,50.101E+00,23.20E+03,13.30E+03,0.00E+00,23.03E+03,13.65E+03,118.76E+00,23.01E+03,13.02E+03,-121.86E+00,245.52E+00,245.34E+00,55.69E+00,251.37E+00,251.19E+00,115.47E+00,246.38E+00,246.22E+00,174.71E+00,1.839E+06,3.423E+06,1.434E+06,6.70E+06,3.266E+06,3.432E+06,3.209E+06,9.90E+06,-2.699E+06,0.250E+06,2.871E+06,7.30E+06,-0.5630E+00,0.9973E+00,0.4469E+00,0.6761E+00,50.109E+00,23.24E+03,13.32E+03,19.61E+03,0.00E+00,23.07E+03,13.67E+03,20.06E+03,118.78E+00,23.05E+03,13.04E+03,19.23E+03,-121.83E+00,278.89E+00,278.75E+00,406.48E+00,56.13E+00,286.27E+00,286.16E+00,426.51E+00,115.91E+00,280.97E+00,280.77E+00,407.29E+00,175.08E+00,2.184E+06,3.872E+06,1.514E+06,7.57E+06,3.693E+06,3.891E+06,3.642E+06,11.22E+06,-2.617E+06,0.387E+06,3.313E+06,8.29E+06,-0.5914E+00,0.9978E+00,0.4528E+00,0.6769E+00,50.094E+00,23.09E+03,13.23E+03,19.19E+03,0.00E+00,22.92E+03,13.58E+03,19.71E+03,118.73E+00,22.90E+03,12.96E+03,18.88E+03,-121.91E+00,237.81E+00,237.63E+00,349.61E+00,53.72E+00,243.05E+00,242.84E+00,357.96E+00,113.61E+00,238.77E+00,238.59E+00,349.49E+00,172.69E+00,1.768E+06,3.311E+06,1.396E+06,6.49E+06,3.165E+06,3.320E+06,3.110E+06,9.60E+06,-2.978E+06,0.225E+06,2.779E+06,7.07E+06,-0.5567E+00,0.9950E+00,0.4156E+00,0.6745E+00,0.542E+06,0.000E+06,0.574E+06,-0.018E+06,0.00000E+00,0.056E+06,0.000E+06,0.061E+06,0.000E+06,6.70E+06,0.00E+06,7.30E+06,0.00E+06,0.6761E+00,0.000E+03
2023-07-20 18:31:00,0000:06:00,00000000,50.101E+00,23.09E+03,13.23E+03,0.00E+00,22.93E+03,13.59E+03,118.77E+00,22.90E+03,12.96E+03,-121.87E+00,282.47E+00,282.31E+00,53.65E+00,290.05E+00,289.90E+00,113.53E+00,284.33E+00,284.19E+00,172.58E+00,2.214E+06,3.923E+06,1.524E+06,7.66E+06,3.739E+06,3.943E+06,3.687E+06,11.36E+06,-3.013E+06,0.396E+06,3.357E+06,8.39E+06,-0.5922E+00,0.9949E+00,0.4135E+00,0.6742E+00,50.108E+00,23.11E+03,13.24E+03,19.60E+03,0.00E+00,22.95E+03,13.60E+03,20.13E+03,118.80E+00,22.92E+03,12.97E+03,19.17E+03,-121.83E+00,287.97E+00,287.81E+00,423.76E+00,53.96E+00,295.50E+00,295.34E+00,439.67E+00,113.87E+00,289.38E+00,289.25E+00,420.68E+00,172.90E+00,2.273E+06,3.994E+06,1.553E+06,7.80E+06,3.810E+06,4.016E+06,3.750E+06,11.57E+06,-2.955E+06,0.436E+06,3.425E+06,8.55E+06,-0.5984E+00,0.9954E+00,0.4186E+00,0.6753E+00,50.096E+00,23.07E+03,13.22E+03,19.20E+03,0.00E+00,22.91E+03,13.58E+03,19.65E+03,118.75E+00,22.88E+03,12.95E+03,18.82E+03,-121.90E+00,276.93E+00,276.78E+00,403.97E+00,53.21E+00,284.54E+00,284.37E+00,416.44E+00,112.99E+00,278.56E+00,278.43E+00,403.74E+00,172.08E+00,2.172E+06,3.847E+06,1.495E+06,7.52E+06,3.667E+06,3.867E+06,3.612E+06,11.15E+06,-3.065E+06,0.371E+06,3.288E+06,8.24E+06,-0.5879E+00,0.9940E+00,0.4056E+00,0.6732E+00,0.606E+06,0.000E+06,0.644E+06,-0.018E+06,0.00000E+00,0.064E+06,0.000E+06,0.070E+06,0.000E+06,7.66E+06,0.00E+06,8.39E+06,0.00E+06,0.6742E+00,0.000E+03
