Date,Etime,Status,Freq_Avg[Hz],U1_Avg[V],Ufnd1_Avg[V],Udeg1_Avg[deg],U2_Avg[V],Ufnd2_Avg[V],Udeg2_Avg[deg],U3_Avg[V],Ufnd3_Avg[V],Udeg3_Avg[deg],I1_Avg[A],Ifnd1_Avg[A],Ideg1_Avg[deg],I2_Avg[A],Ifnd2_Avg[A],Ideg2_Avg[deg],I3_Avg[A],Ifnd3_Avg[A],Ideg3_Avg[deg],P1_Avg[W],P2_Avg[W],P3_Avg[W],P_Avg[W],S1_Avg[VA],S2_Avg[VA],S3_Avg[VA],S_Avg[VA],Q1_Avg[var],Q2_Avg[var],Q3_Avg[var],Q_Avg[var],PF1_Avg,PF2_Avg,PF3_Avg,PF_Avg,Freq_Max[Hz],U1_Max[V],Ufnd1_Max[V],Upeak1_Max[V],Udeg1_Max[deg],U2_Max[V],Ufnd2_Max[V],Upeak2_Max[V],Udeg2_Max[deg],U3_Max[V],Ufnd3_Max[V],Upeak3_Max[V],Udeg3_Max[deg],I1_Max[A],Ifnd1_Max[A],Ipeak1_Max[A],Ideg1_Max[deg],I2_Max[A],Ifnd2_Max[A],Ipeak2_Max[A],Ideg2_Max[deg],I3_Max[A],Ifnd3_Max[A],Ipeak3_Max[A],Ideg3_Max[deg],P1_Max[W],P2_Max[W],P3_Max[W],P_Max[W],S1_Max[VA],S2_Max[VA],S3_Max[VA],S_Max[VA],Q1_Max[var],Q2_Max[var],Q3_Max[var],Q_Max[var],PF1_Max,PF2_Max,PF3_Max,PF_Max,Freq_Min[Hz],U1_Min[V],Ufnd1_Min[V],Upeak1_Min[V],Udeg1_Min[deg],U2_Min[V],Ufnd2_Min[V],Upeak2_Min[V],Udeg2_Min[deg],U3_Min[V],Ufnd3_Min[V],Upeak3_Min[V],Udeg3_Min[deg],I1_Min[A],Ifnd1_Min[A],Ipeak1_Min[A],Ideg1_Min[deg],I2_Min[A],Ifnd2_Min[A],Ipeak2_Min[A],Ideg2_Min[deg],I3_Min[A],Ifnd3_Min[A],Ipeak3_Min[A],Ideg3_Min[deg],P1_Min[W],P2_Min[W],P3_Min[W],P_Min[W],S1_Min[VA],S2_Min[VA],S3_Min[VA],S_Min[VA],Q1_Min[var],Q2_Min[var],Q3_Min[var],Q_Min[var],PF1_Min,PF2_Min,PF3_Min,PF_Min,WP+[Wh],WP-[Wh],WQLAG[varh],WQLEAD[varh],Ecost,WP+dem[Wh],WP-dem[Wh],WQLAGdem[varh],WQLEADdem[varh],Pdem+[W],Pdem-[W],QdemLAG[var],QdemLEAD[var],PFdem,Pulse
13/07/2023 15:49:50,0.00,0.00,50.02,"10,857.00","6,296.00",0.00,"10,876.00","6,153.00",-121.34,"10,855.00","6,360.00",118.03,520.50,520.30,-9.77,519.50,519.40,-130.29,514.00,513.80,110.39,"3,228,000.00","3,156,000.00","3,239,000.00","9,620,000.00","3,278,000.00","3,198,000.00","3,270,000.00","9,750,000.00","572,000.00","512,000.00","452,000.00","1,540,000.00",0.98,0.99,0.99,0.99,50.03,"10,882.00","6,308.00","9,300.00",0.00,"10,895.00","6,166.00","8,965.00",-120.85,"10,866.00","6,368.00","9,278.00",118.39,571.70,571.40,839.10,-9.34,534.40,534.30,769.70,-129.44,524.40,524.30,767.90,110.93,"3,500,000.00","3,203,000.00","3,300,000.00","9,960,000.00","3,577,000.00","3,260,000.00","3,332,000.00","10,170,000.00","737,000.00","796,000.00","484,000.00","2,030,000.00",0.99,0.99,0.99,0.99,50.00,"10,747.00","6,253.00","9,140.00",0.00,"10,826.00","6,099.00","8,844.00",-121.45,"10,831.00","6,350.00","9,184.00",117.91,505.70,505.60,734.20,-11.45,510.40,510.20,737.20,-134.69,508.00,507.80,736.10,109.83,"3,142,000.00","3,115,000.00","3,205,000.00","9,460,000.00","3,190,000.00","3,148,000.00","3,236,000.00","9,570,000.00","541,000.00","456,000.00","425,000.00","1,460,000.00",0.98,0.97,0.99,0.98,"80,000.00",0.00,"13,000.00",0.00,0.00,"80,000.00",0.00,"13,000.00",0.00,"9,620,000.00",0.00,"1,540,000.00",0.00,0.99,0.00
13/07/2023 15:50:20,0.00,0.00,49.99,"10,854.00","6,294.00",0.00,"10,879.00","6,155.00",-121.30,"10,853.00","6,360.00",118.03,514.40,514.30,-9.52,514.90,514.70,-130.09,508.30,508.10,110.48,"3,191,000.00","3,129,000.00","3,203,000.00","9,520,000.00","3,239,000.00","3,170,000.00","3,234,000.00","9,640,000.00","552,000.00","500,000.00","443,000.00","1,500,000.00",0.99,0.99,0.99,0.99,50.00,"10,888.00","6,306.00","9,289.00",0.00,"10,907.00","6,176.00","8,959.00",-120.94,"10,867.00","6,369.00","9,272.00",118.34,561.90,561.80,817.10,-8.94,533.20,533.00,770.20,-128.82,521.60,521.40,755.80,110.88,"3,451,000.00","3,179,000.00","3,281,000.00","9,900,000.00","3,519,000.00","3,256,000.00","3,313,000.00","10,090,000.00","685,000.00","743,000.00","470,000.00","1,920,000.00",0.99,0.99,0.99,0.99,49.98,"10,762.00","6,259.00","9,129.00",0.00,"10,829.00","6,105.00","8,833.00",-121.43,"10,832.00","6,347.00","9,173.00",117.89,496.20,496.10,719.80,-10.99,503.40,503.20,726.70,-133.94,501.80,501.70,726.50,110.13,"3,085,000.00","3,081,000.00","3,167,000.00","9,340,000.00","3,130,000.00","3,109,000.00","3,196,000.00","9,440,000.00","514,000.00","421,000.00","423,000.00","1,380,000.00",0.98,0.97,0.99,0.98,"160,000.00",0.00,"25,000.00",0.00,0.00,"79,000.00",0.00,"13,000.00",0.00,"9,520,000.00",0.00,"1,500,000.00",0.00,0.99,0.00
13/07/2023 15:50:50,0.00,0.00,49.97,"10,838.00","6,282.00",0.00,"10,858.00","6,145.00",-121.34,"10,829.00","6,347.00",118.00,514.70,514.60,-9.42,517.00,516.80,-130.07,508.90,508.80,110.36,"3,188,000.00","3,138,000.00","3,200,000.00","9,530,000.00","3,235,000.00","3,178,000.00","3,231,000.00","9,640,000.00","546,000.00","498,000.00","447,000.00","1,490,000.00",0.99,0.99,0.99,0.99,49.98,"10,864.00","6,292.00","9,272.00",0.00,"10,883.00","6,161.00","8,932.00",-121.06,"10,849.00","6,360.00","9,272.00",118.23,554.50,554.10,830.10,-8.97,534.30,534.00,780.50,-128.95,519.60,519.40,757.40,111.26,"3,409,000.00","3,188,000.00","3,263,000.00","9,860,000.00","3,472,000.00","3,266,000.00","3,297,000.00","10,030,000.00","658,000.00","707,000.00","473,000.00","1,860,000.00",0.99,0.99,0.99,0.99,49.96,"10,773.00","6,257.00","9,102.00",0.00,"10,817.00","6,109.00","8,833.00",-121.45,"10,811.00","6,336.00","9,157.00",117.90,498.80,498.70,722.10,-10.49,506.20,506.00,730.30,-133.26,501.90,501.80,724.40,109.92,"3,097,000.00","3,085,000.00","3,161,000.00","9,370,000.00","3,139,000.00","3,118,000.00","3,193,000.00","9,470,000.00","514,000.00","425,000.00","395,000.00","1,360,000.00",0.98,0.98,0.99,0.98,"239,000.00",0.00,"38,000.00",0.00,0.00,"79,000.00",0.00,"12,000.00",0.00,"9,530,000.00",0.00,"1,490,000.00",0.00,0.99,0.00
13/07/2023 15:51:20,0.00,0.00,49.97,"10,921.00","6,331.00",0.00,"10,940.00","6,191.00",-121.33,"10,914.00","6,396.00",118.02,440.40,440.20,-7.36,439.20,439.00,-127.90,434.60,434.40,112.83,"2,764,000.00","2,699,000.00","2,767,000.00","8,230,000.00","2,789,000.00","2,720,000.00","2,780,000.00","8,290,000.00","377,000.00","331,000.00","276,000.00","990,000.00",0.99,0.99,1.00,0.99,49.99,"10,939.00","6,344.00","9,344.00",0.00,"10,957.00","6,199.00","8,998.00",-121.25,"10,937.00","6,408.00","9,322.00",118.07,509.30,509.10,740.90,-6.88,504.40,504.20,726.20,-127.39,499.00,498.90,720.30,113.30,"3,165,000.00","3,069,000.00","3,153,000.00","9,390,000.00","3,206,000.00","3,105,000.00","3,176,000.00","9,490,000.00","514,000.00","472,000.00","383,000.00","1,370,000.00",0.99,0.99,1.00,0.99,49.97,"10,851.00","6,292.00","9,151.00",0.00,"10,881.00","6,154.00","8,877.00",-121.40,"10,855.00","6,363.00","9,195.00",117.87,427.90,427.70,622.10,-8.94,427.50,427.30,620.30,-129.72,420.30,420.10,611.60,111.48,"2,689,000.00","2,630,000.00","2,678,000.00","8,000,000.00","2,711,000.00","2,649,000.00","2,690,000.00","8,050,000.00","347,000.00","305,000.00","253,000.00","920,000.00",0.99,0.99,0.99,0.99,"308,000.00",0.00,"46,000.00",0.00,0.00,"69,000.00",0.00,"8,000.00",0.00,"8,230,000.00",0.00,"990,000.00",0.00,0.99,0.00
13/07/2023 15:51:50,0.00,0.00,49.97,"10,934.00","6,341.00",0.00,"10,952.00","6,197.00",-121.33,"10,931.00","6,404.00",118.03,440.40,440.30,-7.37,439.30,439.10,-127.99,434.10,434.00,112.77,"2,768,000.00","2,702,000.00","2,767,000.00","8,240,000.00","2,794,000.00","2,723,000.00","2,781,000.00","8,300,000.00","378,000.00","335,000.00","280,000.00","1,000,000.00",0.99,0.99,0.99,0.99,49.98,"10,946.00","6,347.00","9,349.00",0.00,"10,961.00","6,203.00","8,998.00",-121.31,"10,940.00","6,409.00","9,333.00",118.08,445.50,445.40,645.70,-6.85,444.80,444.60,646.30,-127.56,439.70,439.50,638.80,113.36,"2,798,000.00","2,733,000.00","2,799,000.00","8,330,000.00","2,825,000.00","2,755,000.00","2,815,000.00","8,390,000.00","396,000.00","351,000.00","299,000.00","1,050,000.00",0.99,0.99,1.00,0.99,49.97,"10,921.00","6,333.00","9,212.00",0.00,"10,941.00","6,190.00","8,915.00",-121.36,"10,918.00","6,398.00","9,245.00",118.00,432.60,432.40,629.40,-7.71,430.90,430.70,625.70,-128.33,425.50,425.40,617.50,112.35,"2,724,000.00","2,655,000.00","2,716,000.00","8,090,000.00","2,747,000.00","2,674,000.00","2,728,000.00","8,150,000.00","352,000.00","313,000.00","254,000.00","920,000.00",0.99,0.99,0.99,0.99,"376,000.00",0.00,"54,000.00",0.00,0.00,"69,000.00",0.00,"8,000.00",0.00,"8,240,000.00",0.00,"1,000,000.00",0.00,0.99,0.00
13/07/2023 15:52:20,0.00,0.00,49.99,"10,890.00","6,316.00",0.00,"10,901.00","6,169.00",-121.36,"10,889.00","6,378.00",118.07,481.80,481.70,-8.36,485.40,485.30,-129.56,473.20,473.10,110.98,"3,006,000.00","2,960,000.00","2,990,000.00","8,960,000.00","3,043,000.00","2,994,000.00","3,018,000.00","9,060,000.00","460,000.00","443,000.00","392,000.00","1,300,000.00",0.99,0.99,0.99,0.99,50.00,"10,942.00","6,346.00","9,338.00",0.00,"10,961.00","6,201.00","8,976.00",-121.04,"10,942.00","6,410.00","9,327.00",118.28,580.50,580.50,840.90,-6.20,572.40,572.30,832.00,-127.79,561.40,561.20,815.50,112.92,"3,522,000.00","3,421,000.00","3,457,000.00","10,200,000.00","3,617,000.00","3,495,000.00","3,537,000.00","10,480,000.00","918,000.00","896,000.00","891,000.00","2,520,000.00",0.99,0.99,1.00,0.99,49.98,"10,716.00","6,220.00","9,096.00",0.00,"10,748.00","6,077.00","8,772.00",-121.76,"10,721.00","6,278.00","9,107.00",117.73,438.80,438.70,636.30,-15.16,438.00,437.90,636.30,-136.04,432.00,431.90,627.80,103.11,"2,760,000.00","2,697,000.00","2,757,000.00","8,210,000.00","2,785,000.00","2,718,000.00","2,771,000.00","8,270,000.00","340,000.00","329,000.00","275,000.00","980,000.00",0.96,0.97,0.97,0.97,"451,000.00",0.00,"65,000.00",0.00,0.00,"75,000.00",0.00,"11,000.00",0.00,"8,960,000.00",0.00,"1,300,000.00",0.00,0.99,0.00
13/07/2023 15:52:50,0.00,0.00,50.00,"10,852.00","6,289.00",0.00,"10,873.00","6,153.00",-121.36,"10,843.00","6,357.00",117.99,515.50,515.40,-9.99,518.30,518.10,-130.36,512.40,512.20,109.87,"3,189,000.00","3,147,000.00","3,220,000.00","9,560,000.00","3,243,000.00","3,190,000.00","3,258,000.00","9,690,000.00","578,000.00","514,000.00","476,000.00","1,580,000.00",0.98,0.99,0.99,0.99,50.02,"10,887.00","6,312.00","9,272.00",0.00,"10,909.00","6,175.00","8,926.00",-120.91,"10,894.00","6,384.00","9,300.00",118.44,564.50,564.20,817.10,-8.09,577.40,577.20,841.40,-128.50,561.80,561.60,821.00,112.09,"3,446,000.00","3,407,000.00","3,449,000.00","10,090,000.00","3,507,000.00","3,510,000.00","3,524,000.00","10,430,000.00","954,000.00","913,000.00","1,029,000.00","2,840,000.00",0.99,0.99,0.99,0.99,49.99,"10,725.00","6,210.00","9,080.00",0.00,"10,715.00","6,070.00","8,778.00",-121.86,"10,686.00","6,254.00","9,091.00",117.54,493.50,493.30,711.10,-16.13,497.80,497.70,718.90,-136.38,492.90,492.80,712.50,100.96,"3,064,000.00","3,046,000.00","3,125,000.00","9,270,000.00","3,109,000.00","3,074,000.00","3,147,000.00","9,360,000.00","475,000.00","399,000.00","368,000.00","1,270,000.00",0.96,0.97,0.96,0.96,"530,000.00",0.00,"78,000.00",0.00,0.00,"80,000.00",0.00,"13,000.00",0.00,"9,560,000.00",0.00,"1,580,000.00",0.00,0.99,0.00
13/07/2023 15:53:20,0.00,0.00,50.02,"10,858.00","6,294.00",0.00,"10,879.00","6,155.00",-121.36,"10,852.00","6,362.00",117.99,520.50,520.40,-9.77,523.50,523.30,-129.97,518.40,518.30,110.20,"3,227,000.00","3,183,000.00","3,266,000.00","9,680,000.00","3,277,000.00","3,223,000.00","3,299,000.00","9,800,000.00","572,000.00","498,000.00","464,000.00","1,540,000.00",0.98,0.99,0.99,0.99,50.03,"10,891.00","6,313.00","9,289.00",0.00,"10,904.00","6,172.00","8,948.00",-120.88,"10,882.00","6,376.00","9,267.00",118.31,572.10,571.90,835.20,-8.18,544.70,544.60,784.10,-128.86,539.60,539.40,797.90,111.22,"3,470,000.00","3,250,000.00","3,383,000.00","10,040,000.00","3,566,000.00","3,328,000.00","3,425,000.00","10,240,000.00","863,000.00","809,000.00","581,000.00","2,230,000.00",0.99,0.99,0.99,0.99,50.00,"10,730.00","6,232.00","9,102.00",0.00,"10,825.00","6,100.00","8,816.00",-121.55,"10,795.00","6,336.00","9,162.00",117.82,507.50,507.40,732.60,-13.59,509.20,509.10,737.70,-135.01,506.70,506.60,732.90,108.23,"3,146,000.00","3,109,000.00","3,207,000.00","9,490,000.00","3,196,000.00","3,141,000.00","3,232,000.00","9,590,000.00","479,000.00","429,000.00","402,000.00","1,320,000.00",0.97,0.97,0.99,0.98,"611,000.00",0.00,"91,000.00",0.00,0.00,"81,000.00",0.00,"13,000.00",0.00,"9,680,000.00",0.00,"1,540,000.00",0.00,0.99,0.00
13/07/2023 15:53:50,0.00,0.00,50.01,"10,861.00","6,298.00",0.00,"10,885.00","6,157.00",-121.31,"10,865.00","6,368.00",118.07,518.80,518.70,-9.44,520.00,519.90,-130.19,511.50,511.40,110.41,"3,222,000.00","3,162,000.00","3,227,000.00","9,610,000.00","3,269,000.00","3,203,000.00","3,258,000.00","9,730,000.00","551,000.00","509,000.00","450,000.00","1,520,000.00",0.99,0.99,0.99,0.99,50.01,"10,881.00","6,308.00","9,305.00",0.00,"10,906.00","6,169.00","8,948.00",-121.07,"10,881.00","6,379.00","9,294.00",118.31,553.20,553.10,806.30,-8.94,539.40,539.30,772.20,-129.05,519.50,519.30,756.00,111.22,"3,417,000.00","3,227,000.00","3,273,000.00","9,910,000.00","3,474,000.00","3,302,000.00","3,307,000.00","10,080,000.00","632,000.00","701,000.00","503,000.00","1,840,000.00",0.99,0.99,0.99,0.99,50.00,"10,797.00","6,275.00","9,140.00",0.00,"10,843.00","6,120.00","8,833.00",-121.41,"10,848.00","6,355.00","9,190.00",117.96,504.80,504.70,731.00,-10.24,509.50,509.40,735.40,-133.15,503.50,503.50,727.60,109.53,"3,140,000.00","3,110,000.00","3,182,000.00","9,450,000.00","3,183,000.00","3,144,000.00","3,211,000.00","9,550,000.00","515,000.00","436,000.00","403,000.00","1,380,000.00",0.98,0.98,0.99,0.98,"691,000.00",0.00,"104,000.00",0.00,0.00,"80,000.00",0.00,"13,000.00",0.00,"9,610,000.00",0.00,"1,520,000.00",0.00,0.99,0.00
13/07/2023 15:54:20,0.00,0.00,50.01,"10,864.00","6,297.00",0.00,"10,886.00","6,160.00",-121.35,"10,858.00","6,365.00",118.01,510.10,510.00,-10.33,511.00,510.80,-130.58,506.60,506.50,109.80,"3,158,000.00","3,104,000.00","3,190,000.00","9,450,000.00","3,213,000.00","3,148,000.00","3,226,000.00","9,590,000.00","590,000.00","519,000.00","476,000.00","1,590,000.00",0.98,0.99,0.99,0.99,50.02,"10,908.00","6,323.00","9,283.00",0.00,"10,922.00","6,184.00","8,998.00",-121.07,"10,900.00","6,388.00","9,338.00",118.29,556.30,556.20,817.10,-9.27,538.80,538.70,774.70,-129.57,524.20,524.00,758.50,110.94,"3,428,000.00","3,224,000.00","3,296,000.00","9,930,000.00","3,492,000.00","3,299,000.00","3,334,000.00","10,110,000.00","715,000.00","727,000.00","618,000.00","2,020,000.00",0.99,0.99,0.99,0.99,50.00,"10,794.00","6,275.00","9,107.00",0.00,"10,846.00","6,119.00","8,816.00",-121.46,"10,839.00","6,356.00","9,140.00",117.93,377.20,377.10,559.40,-15.66,374.80,374.70,556.40,-136.76,371.00,371.00,554.30,104.45,"2,310,000.00","2,251,000.00","2,316,000.00","6,880,000.00","2,386,000.00","2,318,000.00","2,370,000.00","7,070,000.00","526,000.00","466,000.00","402,000.00","1,410,000.00",0.96,0.96,0.97,0.97,"770,000.00",0.00,"117,000.00",0.00,0.00,"79,000.00",0.00,"13,000.00",0.00,"9,450,000.00",0.00,"1,590,000.00",0.00,0.99,0.00
13/07/2023 15:54:50,0.00,0.00,50.00,"10,874.00","6,304.00",0.00,"10,890.00","6,164.00",-121.35,"10,870.00","6,368.00",118.06,512.40,512.20,-9.37,514.90,514.70,-130.16,505.60,505.50,110.32,"3,186,000.00","3,135,000.00","3,189,000.00","9,510,000.00","3,231,000.00","3,175,000.00","3,221,000.00","9,630,000.00","541,000.00","501,000.00","451,000.00","1,500,000.00",0.99,0.99,0.99,0.99,50.01,"10,892.00","6,314.00","9,289.00",0.00,"10,906.00","6,173.00","8,948.00",-121.26,"10,885.00","6,377.00","9,289.00",118.15,522.40,522.30,770.20,-8.86,523.40,523.30,755.80,-129.57,518.20,518.10,750.90,111.00,"3,242,000.00","3,179,000.00","3,259,000.00","9,670,000.00","3,289,000.00","3,224,000.00","3,296,000.00","9,810,000.00","602,000.00","556,000.00","490,000.00","1,630,000.00",0.99,0.99,0.99,0.99,49.99,"10,853.00","6,291.00","9,151.00",0.00,"10,875.00","6,150.00","8,871.00",-121.38,"10,848.00","6,358.00","9,190.00",118.02,503.40,503.30,730.30,-10.31,506.20,506.00,730.60,-131.00,497.90,497.70,720.70,109.74,"3,139,000.00","3,086,000.00","3,146,000.00","9,370,000.00","3,180,000.00","3,124,000.00","3,175,000.00","9,490,000.00","507,000.00","463,000.00","409,000.00","1,400,000.00",0.98,0.98,0.99,0.99,"849,000.00",0.00,"129,000.00",0.00,0.00,"79,000.00",0.00,"12,000.00",0.00,"9,510,000.00",0.00,"1,500,000.00",0.00,0.99,0.00
